jpeg_variant,target_size_kb,image_name,decoded_size_kb,encoded_size_kb,brisque,niqe,nima,clip
j2k,100,testimages_building,1704.1376953125,95.6884765625,28.13690185546875,4.118641413462425,4.743403434753418,0.5229681134223938
j2k,100,testimages_cards_a,1851.7392578125,95.8115234375,10.55389404296875,3.0602407478619438,4.837431907653809,0.4069543480873108
j2k,100,testimages_cards_b,1644.2333984375,95.8935546875,7.71600341796875,5.313993024544048,5.434601783752441,0.3977501094341278
j2k,100,testimages_carrots,1781.259765625,95.8525390625,19.40301513671875,4.286186614417273,5.357161521911621,0.49723678827285767
j2k,100,testimages_chairs,1528.6982421875,95.8896484375,70.63104248046875,8.534922625579185,5.608407974243164,0.7157358527183533
j2k,100,testimages_clips,1932.927734375,95.8935546875,95.43634033203125,12.041182815769771,5.162609577178955,0.3193052411079407
j2k,100,testimages_coins,1871.0654296875,95.8798828125,7.02606201171875,3.2511802420172353,4.504830837249756,0.5293095111846924
j2k,100,testimages_cushions,1633.2900390625,95.8193359375,17.85174560546875,4.1095201526649845,4.415343284606934,0.3869706988334656
j2k,100,testimages_ducks,1618.7578125,95.8671875,47.05389404296875,8.326253069973522,4.966005325317383,0.731596827507019
j2k,100,testimages_fence,1638.9384765625,95.5166015625,50.67010498046875,6.259735723184612,5.4135637283325195,0.4889872074127197
j2k,100,testimages_flowers,1869.2060546875,95.8642578125,18.27655029296875,4.436554219276932,4.350240707397461,0.5925258994102478
j2k,100,testimages_garden_table,1863.7705078125,95.8720703125,12.77459716796875,2.9573397048797805,4.706489086151123,0.5827100276947021
j2k,100,testimages_guitar_bridge,1787.3330078125,95.740234375,-1.09747314453125,5.091988806247237,4.873723983764648,0.5007897019386292
j2k,100,testimages_guitar_fret,1669.4033203125,95.72265625,29.81951904296875,4.263155390100746,4.784613609313965,0.4832613468170166
j2k,100,testimages_guitar_head,1811.2490234375,95.787109375,30.25067138671875,4.410755277881455,4.723557472229004,0.6898609399795532
j2k,100,testimages_keyboard_a,1812.9794921875,95.8828125,5.32098388671875,7.530876419811878,4.902162075042725,0.3573148846626282
j2k,100,testimages_keyboard_b,1787.337890625,95.701171875,26.71405029296875,3.7294114664034015,4.253005504608154,0.4989643692970276
j2k,100,testimages_lion,1384.5546875,95.8427734375,8.39227294921875,3.6540980346302385,4.766618728637695,0.7592017650604248
j2k,100,testimages_multimeter,1811.2451171875,95.8369140625,20.09881591796875,3.400559737656737,3.991203784942627,0.5713911056518555
j2k,100,testimages_pencils_a,1581.0751953125,95.7890625,76.70037841796875,6.748040180245479,5.4136433601379395,0.7218440771102905
j2k,100,testimages_pencils_b,1569.3896484375,95.89453125,70.32196044921875,5.188769025182628,5.528671741485596,0.6083220839500427
j2k,100,testimages_pillar,1695.7138671875,95.865234375,11.69647216796875,2.9234561635529936,4.534638404846191,0.7105129957199097
j2k,100,testimages_plastic,1812.0185546875,95.775390625,21.47625732421875,6.251106486783896,5.133718967437744,0.7531121373176575
j2k,100,testimages_roof,1411.4287109375,95.890625,102.63836669921875,12.100439084737804,4.9864821434021,0.5213849544525146
j2k,100,testimages_scarf,1951.541015625,95.8828125,47.43817138671875,6.351208748201931,4.6912384033203125,0.4905838966369629
j2k,100,testimages_screws,1930.1728515625,95.818359375,29.14617919921875,5.157672358940152,4.934602737426758,0.39808183908462524
j2k,100,testimages_snails,1672.107421875,95.7353515625,26.39617919921875,4.296012028448941,4.655703544616699,0.4111781120300293
j2k,100,testimages_socks,1931.37890625,95.662109375,-4.46319580078125,4.806508064003202,5.330310344696045,0.3304433822631836
j2k,100,testimages_sweets,1766.8310546875,95.8486328125,31.68914794921875,6.0970580984784,4.391811370849609,0.3912757933139801
j2k,100,testimages_tomatoes_a,1705.8125,95.552734375,39.56268310546875,9.612060169474963,5.1897735595703125,0.46695342659950256
j2k,100,testimages_tomatoes_b,1649.2412109375,95.8837890625,46.73358154296875,7.62276910774237,4.478178977966309,0.361228883266449
j2k,100,testimages_tools_a,1791.6884765625,95.7890625,31.44012451171875,4.7923445438083565,4.698459625244141,0.31180447340011597
j2k,100,testimages_tools_b,1801.2578125,95.8798828125,25.56463623046875,5.789688978917485,4.673858165740967,0.6840327382087708
j2k,100,testimages_wood_game,1471.7138671875,95.7919921875,18.02850341796875,4.840538692902659,4.5732622146606445,0.5345145463943481
j2k,125,testimages_almonds,1847.5654296875,116.9013671875,15.19647216796875,2.9976656147401375,4.592005729675293,0.42855867743492126
j2k,125,testimages_apples,1659.560546875,117.201171875,21.21600341796875,4.5899703149017,4.52009916305542,0.7815144658088684
j2k,125,testimages_baloons,1697.76171875,117.166015625,40.31121826171875,7.120035285027206,4.562223434448242,0.47843876481056213
j2k,125,testimages_bananas,1754.30078125,117.1572265625,10.64569091796875,4.767485342650118,4.124833106994629,0.7929540872573853
j2k,125,testimages_billiard_balls_a,1614.169921875,117.1396484375,51.51629638671875,5.509443381597408,4.846001625061035,0.458254337310791
j2k,125,testimages_billiard_balls_b,1718.96484375,117.1689453125,21.14080810546875,3.795469419041906,4.860238075256348,0.44712743163108826
j2k,125,testimages_building,1705.0537109375,117.1767578125,27.60809326171875,4.100592967469306,4.745125770568848,0.5211300253868103
j2k,125,testimages_cards_a,1849.4716796875,117.1025390625,8.36932373046875,3.0228381709521037,4.882875919342041,0.43549856543540955
j2k,125,testimages_cards_b,1645.0576171875,117.193359375,6.44403076171875,5.621618309495929,5.446857929229736,0.4193499684333801
